experiment_id,profile,mode,pair_files,baseline_p99_ms,candidate_p99_ms,p99_change_fraction,throughput_ops_s,admission_status,required_pair_count,actual_pair_count
commercebench-r28a-standard-b0_native,standard,B0_NATIVE,1,57.245187015214036,61.385791617794574,0.072331052066964,83.16704201148421,,,
commercebench-r28a-standard-b1_deterministic_no_gate,standard,B1_DETERMINISTIC_NO_GATE,1,93.73624536907298,5.89515966450556,-0.9371090698022497,75.42454155128215,,,
commercebench-r28a-standard-b2_llm_rank_no_gate,standard,B2_LLM_RANK_NO_GATE,1,57.56120943406109,14.105675554310405,-0.7549447676135249,79.69624566529069,,,
commercebench-r28a-standard-b3_deterministic_with_gate,standard,B3_DETERMINISTIC_WITH_GATE,1,115.73133619618568,5.607942980423103,-0.9515434352981407,51.792555736413085,,,
commercebench-r28a-standard-b4_llm_with_gate,standard,B4_LLM_WITH_GATE,1,56.96086734125848,4.002274461090553,-0.9297364199685987,88.19544557401844,,,
commercebench-r28a-standard-b5_full_with_experience,standard,B5_FULL_WITH_EXPERIENCE,1,197.14765716722346,5.089587621332604,-0.9741838797657354,60.97072124289252,,,
commercebench-r28b-publication-b0_native,publication,B0_NATIVE,12,184.26501481750165,184.71385235648384,0.0024358261356705393,27.843017733068947,,,
commercebench-r28b-publication-b1_deterministic_no_gate,publication,B1_DETERMINISTIC_NO_GATE,27,158.41215754788007,71.85707570410428,-0.5463916607386307,216.28391931474687,ADMITTED,15,15
commercebench-r28b-publication-b2_llm_rank_no_gate,publication,B2_LLM_RANK_NO_GATE,27,154.8968747462452,70.57820864340844,-0.5443535658222226,217.73058488460003,ADMITTED,15,15
commercebench-r28b-publication-b3_deterministic_with_gate,publication,B3_DETERMINISTIC_WITH_GATE,27,152.58030671027007,70.61100781167625,-0.537220698174652,217.4411824976125,ADMITTED,15,15
commercebench-r28b-publication-b4_llm_with_gate,publication,B4_LLM_WITH_GATE,39,156.6509744156904,53.292598293001724,-0.6598004034651963,254.3078171776997,ADMITTED,27,27
commercebench-r28b-publication-b5_full_with_experience,publication,B5_FULL_WITH_EXPERIENCE,27,156.35328505546096,72.0468592740966,-0.539204697563339,210.3425152539339,ADMITTED,15,15
